Area	Year	Value	Flag Description
Netherlands	2012	0	FAO data based on imputation methodology
Netherlands	2013	0	FAO data based on imputation methodology
Netherlands	2014	0	FAO data based on imputation methodology
New Caledonia	2011	72	FAO estimate
New Caledonia	2012	74	FAO estimate
New Caledonia	2013	74	FAO estimate
New Caledonia	2014	74	FAO data based on imputation methodology
New Zealand	2011	0	FAO data based on imputation methodology
New Zealand	2012	0	FAO data based on imputation methodology
New Zealand	2013	0	FAO data based on imputation methodology
New Zealand	2014	0	FAO estimate
Nicaragua	2011	64	FAO data based on imputation methodology
Nicaragua	2012	64	FAO data based on imputation methodology
Nicaragua	2013	64	FAO data based on imputation methodology
Nicaragua	2014	64	FAO data based on imputation methodology
Nigeria	2011	11550	FAO estimate
Nigeria	2012	12000	FAO estimate
Nigeria	2013	11211	FAO data based on imputation methodology
Nigeria	2014	12000	FAO estimate
Norway	2011	0	FAO data based on imputation methodology
Norway	2012	0	Official data
Norway	2013	0	Official data
Norway	2014	0	Official data
Pakistan	2011	6728	FAO data based on imputation methodology
Pakistan	2012	11482	FAO data based on imputation methodology
Pakistan	2013	11038	FAO data based on imputation methodology
Pakistan	2014	11038	FAO data based on imputation methodology
Panama	2011	20	FAO data based on imputation methodology
Panama	2012	20	Official data
Panama	2013	20	Official data
Panama	2014	21	Official data
Papua New Guinea	2011	54700	Unofficial figure
Papua New Guinea	2012	37900	Unofficial figure
Papua New Guinea	2013	36300	Unofficial figure
Papua New Guinea	2014	21600	Unofficial figure
Philippines	2011	1254522	FAO data based on imputation methodology
Philippines	2012	1274352	FAO data based on imputation methodology
Philippines	2013	1208952	FAO data based on imputation methodology
Philippines	2014	1109112	FAO data based on imputation methodology
Poland	2011	0	FAO data based on imputation methodology
Poland	2012	0	FAO data based on imputation methodology
Poland	2013	289	FAO data based on imputation methodology
Poland	2014	289	FAO data based on imputation methodology
Portugal	2011		Data not available
Portugal	2012		Data not available
Portugal	2013		Data not available
Portugal	2014	61	FAO data based on imputation methodology
Puerto Rico	2011	519	FAO data based on imputation methodology
Puerto Rico	2012	525	FAO data based on imputation methodology
Puerto Rico	2013	531	FAO data based on imputation methodology
Puerto Rico	2014	607	FAO data based on imputation methodology
Republic of Korea	2011	513	FAO data based on imputation methodology
Republic of Korea	2012	728	FAO data based on imputation methodology
Republic of Korea	2013	731	FAO data based on imputation methodology
Republic of Korea	2014	731	FAO data based on imputation methodology
Saint Kitts and Nevis	2011	693	FAO data based on imputation methodology
Saint Kitts and Nevis	2012	567	FAO data based on imputation methodology
Saint Kitts and Nevis	2013	536	FAO data based on imputation methodology
Saint Kitts and Nevis	2014	252	FAO data based on imputation methodology
Saint Lucia	2011	475	FAO estimate
Saint Lucia	2012	487	FAO estimate
Saint Lucia	2013	487	FAO estimate
Saint Lucia	2014	487	FAO data based on imputation methodology
Saint Vincent and the Grenadines	2011	315	FAO data based on imputation methodology
Saint Vincent and the Grenadines	2012	300	FAO data based on imputation methodology
Saint Vincent and the Grenadines	2013	300	FAO data based on imputation methodology
Saint Vincent and the Grenadines	2014	315	FAO data based on imputation methodology
Samoa	2011	5100	Unofficial figure
Samoa	2012	5100	Unofficial figure
Samoa	2013	5100	Unofficial figure
Samoa	2014	5100	Unofficial figure
Sao Tome and Principe	2011	511	FAO data based on imputation methodology
Sao Tome and Principe	2012	998	FAO data based on imputation methodology
Sao Tome and Principe	2013	2829	FAO data based on imputation methodology
Sao Tome and Principe	2014	333	FAO data based on imputation methodology
Seychelles	2011	6	FAO estimate
Seychelles	2012	7	FAO estimate
Seychelles	2013	5	FAO estimate
Seychelles	2014	15	FAO estimate
Solomon Islands	2011	5600	Unofficial figure
Solomon Islands	2012	7900	Unofficial figure
Solomon Islands	2013	12700	Unofficial figure
Solomon Islands	2014	13700	Unofficial figure
South Africa	2011	0	FAO data based on imputation methodology
South Africa	2012	2	FAO data based on imputation methodology
South Africa	2013	0	FAO data based on imputation methodology
South Africa	2014	0	FAO estimate
Spain	2011	0	FAO data based on imputation methodology
Spain	2012	0	FAO data based on imputation methodology
Spain	2013	0	FAO data based on imputation methodology
Spain	2014	0	FAO estimate
Sri Lanka	2011	53090	Official data
Sri Lanka	2012	55190	Official data
Sri Lanka	2013	45208	Official data
Sri Lanka	2014	45268	Official data
Suriname	2011	449	FAO data based on imputation methodology
Suriname	2012	419	FAO data based on imputation methodology
Suriname	2013	1104	FAO data based on imputation methodology
Suriname	2014	1280	FAO data based on imputation methodology
Eswatini	2011	0	FAO data based on imputation methodology
Eswatini	2012	0	FAO data based on imputation methodology
Eswatini	2013	0	FAO data based on imputation methodology
Eswatini	2014	0	FAO estimate
Sweden	2011	0	FAO data based on imputation methodology
Sweden	2012	0	FAO data based on imputation methodology
Sweden	2013	0	FAO data based on imputation methodology
Sweden	2014	0	FAO data based on imputation methodology
Switzerland	2011	0	FAO data based on imputation methodology
Switzerland	2012	0	FAO data based on imputation methodology
Switzerland	2013	0	FAO data based on imputation methodology
Switzerland	2014	0	FAO data based on imputation methodology
Thailand	2011	26200	Unofficial figure
Thailand	2012	28700	Unofficial figure
Thailand	2013	29300	Unofficial figure
Thailand	2014	29300	Unofficial figure
Timor-Leste	2011	378	FAO data based on imputation methodology
Timor-Leste	2012	378	FAO data based on imputation methodology
Timor-Leste	2013	378	FAO data based on imputation methodology
Timor-Leste	2014	378	FAO data based on imputation methodology
Togo	2011	1760	FAO data based on imputation methodology
Togo	2012	1655	FAO data based on imputation methodology
Togo	2013	1541	FAO data based on imputation methodology
Togo	2014	1600	FAO data based on imputation methodology
Tokelau	2011	29	FAO data based on imputation methodology
Tokelau	2012	29	FAO data based on imputation methodology
Tokelau	2013	29	FAO data based on imputation methodology
Tokelau	2014	29	FAO data based on imputation methodology
Tonga	2011	3800	FAO estimate
Tonga	2012	6200	FAO estimate
Tonga	2013	6250	FAO estimate
Tonga	2014	6250	FAO data based on imputation methodology
Trinidad and Tobago	2011	875	FAO estimate
Trinidad and Tobago	2012	1500	FAO estimate
Trinidad and Tobago	2013	1500	FAO estimate
Trinidad and Tobago	2014	1500	FAO data based on imputation methodology
Turkey	2011	0	FAO data based on imputation methodology
Turkey	2012	0	FAO data based on imputation methodology
Turkey	2013	0	FAO data based on imputation methodology
Turkey	2014	0	FAO estimate
Tuvalu	2011	20	FAO data based on imputation methodology
Tuvalu	2012	20	FAO data based on imputation methodology
Tuvalu	2013	20	FAO data based on imputation methodology
Tuvalu	2014	20	FAO data based on imputation methodology
United Kingdom of Great Britain and Northern Ireland	2011	0	FAO data based on imputation methodology
United Kingdom of Great Britain and Northern Ireland	2012	0	FAO data based on imputation methodology
United Kingdom of Great Britain and Northern Ireland	2013	0	FAO data based on imputation methodology
United Kingdom of Great Britain and Northern Ireland	2014	0	FAO data based on imputation methodology
United Republic of Tanzania	2011	16193	FAO data based on imputation methodology
United Republic of Tanzania	2012	16800	FAO data based on imputation methodology
United Republic of Tanzania	2013	11400	FAO data based on imputation methodology
United Republic of Tanzania	2014	11400	FAO data based on imputation methodology
Vanuatu	2011	14586	FAO data based on imputation methodology
Vanuatu	2012	12860	FAO data based on imputation methodology
Vanuatu	2013	8601	FAO data based on imputation methodology
Vanuatu	2014	10000	FAO estimate
Venezuela (Bolivarian Republic of)	2011	10947	FAO data based on imputation methodology
Venezuela (Bolivarian Republic of)	2012	13963	FAO data based on imputation methodology
Venezuela (Bolivarian Republic of)	2013	16393	FAO data based on imputation methodology
Venezuela (Bolivarian Republic of)	2014	15000	FAO estimate
Viet Nam	2011	154888	FAO data based on imputation methodology
Viet Nam	2012	154746	FAO data based on imputation methodology
Viet Nam	2013	154849	FAO data based on imputation methodology
Viet Nam	2014	156769	FAO data based on imputation methodology
Wallis and Futuna Islands	2011	164	FAO data based on imputation methodology
Wallis and Futuna Islands	2012	164	FAO data based on imputation methodology
Wallis and Futuna Islands	2013	164	FAO data based on imputation methodology
Wallis and Futuna Islands	2014	164	FAO data based on imputation methodology
China	2011	331	"Aggregate, may include official, semi-official, estimated or calculated data"
China	2012	387	"Aggregate, may include official, semi-official, estimated or calculated data"
China	2013	387	"Aggregate, may include official, semi-official, estimated or calculated data"
China	2014	406	"Aggregate, may include official, semi-official, estimated or calculated data"
